Date Time,PM10_0,RAIN_0,HUMID_1,TEMP_1,WSP_0,WDR_0,SD1_0,WGU_0,PM2.5_0,HUMID_0,TEMP_0,DPTEMP_0,H2O_0,WBTEMP_0,FPTEMP_0,SO2_0,NO_0,NOX_0,NO2_0,NH3_0,WSP_1,WDR_1,SD1_1,WGU_1,N2O_Pic_0,CH4_Pic_0,CO2_Pic_0,NH3_Pic_0,H2O_Pic_0,NO_1,NOX_1,NO2_1,NH3_1
27-09-2024 10:00,44.62854166666667,0.0,33.23020833333333,26.096875,7.968958333333333,130.93416666666667,9.146041666666667,10.817916666666667,4.213125000000001,55.21395833333333,16.815,7.7225,6.5775,11.853541666666667,7.7225,3.7016666666666667,0.49833333333333335,2.0368749999999998,1.5377083333333335,2.4502083333333333,7.95,131.33895833333335,9.188541666666667,10.830833333333333,0.3254166666666667,1.8691666666666666,410.96791666666667,4.5175,1.0375,0.0,0.0,0.0,0.0
27-09-2024 11:00,44.96816666666667,0.0,34.644999999999996,26.971333333333334,7.041666666666667,137.63916666666668,9.919333333333332,9.700833333333334,8.109666666666666,63.084500000000006,15.867333333333333,8.632333333333333,7.0275,11.896833333333335,8.632333333333333,3.5435000000000003,0.1796666666666667,1.4795,1.2945,3.2795,7.072166666666666,138.23183333333333,9.793166666666668,9.808333333333334,0.32466666666666666,1.863,414.32399999999996,4.5601666666666665,1.1238333333333332,0.0,0.0,0.0,0.0
27-09-2024 12:00,36.838166666666666,0.0,31.653166666666667,27.709333333333333,6.58,136.49183333333335,10.200833333333332,9.1705,11.669333333333332,54.0345,16.735,7.310333333333333,6.395833333333333,11.633333333333333,7.310333333333333,3.4596666666666667,0.528,2.027833333333333,1.5003333333333333,2.246166666666667,6.587166666666667,137.01366666666667,10.087666666666667,9.1655,0.32566666666666666,1.8686666666666667,411.07416666666666,4.229333333333333,1.01,0.0,0.0,0.0,0.0
27-09-2024 13:00,43.3455,0.0,28.9995,27.976666666666667,6.638833333333333,139.09099999999998,10.114333333333333,9.271333333333333,10.679499999999999,51.752500000000005,17.028666666666666,6.9831666666666665,6.2505,11.608333333333333,6.9831666666666665,3.430833333333333,0.6831666666666667,2.4211666666666667,1.7373333333333332,2.2569999999999997,6.6605,139.67516666666668,9.9675,9.376333333333333,0.3266666666666667,1.87,411.23383333333334,4.0969999999999995,0.9876666666666666,0.0,0.0,0.0,0.0
27-09-2024 14:00,47.71633333333333,0.0,27.726,28.335166666666666,6.3385,145.83416666666665,10.735999999999999,9.056166666666666,11.356666666666666,51.059,16.8615,6.634,6.0968333333333335,11.382333333333333,6.634,3.4058333333333333,0.7515000000000001,2.381666666666667,1.6313333333333333,2.2303333333333333,6.405666666666666,146.50166666666667,10.620833333333334,9.169333333333332,0.326,1.87,411.65999999999997,4.016,0.9638333333333333,0.0,0.0,0.0,0.0
27-09-2024 15:00,40.511355932203394,0.0,27.598135593220338,28.15881355932203,6.231864406779661,140.97033898305085,10.342372881355933,8.900338983050847,7.346440677966101,51.8206779661017,16.555423728813558,6.555762711864407,6.068305084745762,11.216271186440677,6.555762711864407,3.273898305084746,0.5171186440677966,2.125762711864407,1.6093220338983052,1.9915254237288136,6.257796610169491,141.52406779661018,10.318813559322033,8.89186440677966,0.32745762711864407,1.87,411.99254237288136,3.985762711864407,0.9579661016949151,0.0,0.0,0.0,0.0
27-09-2024 16:00,43.29,0.0,27.253333333333334,28.115166666666664,6.294666666666667,146.25366666666665,10.395333333333333,8.987166666666667,5.856833333333333,52.198166666666665,16.386833333333335,6.504499999999999,6.046,11.124666666666666,6.504499999999999,3.3104999999999998,0.8548333333333333,3.4403333333333332,2.6064999999999996,1.5861666666666667,6.350833333333333,146.87483333333333,10.274333333333335,9.141666666666667,0.326,1.87,412.4661666666667,3.9844999999999997,0.9556666666666668,0.0,0.0,0.0,0.0
27-09-2024 17:00,41.014,0.0,27.366,27.92366666666667,6.070166666666666,138.38616666666667,9.9505,8.383833333333333,7.2385,53.089166666666664,16.134833333333333,6.528833333333334,6.055000000000001,11.029833333333332,6.528833333333334,3.2375,0.5286666666666666,3.7516666666666665,3.223,0.5246666666666667,6.084333333333333,139.06216666666666,9.856,8.389999999999999,0.32616666666666666,1.87,412.92983333333336,3.8795,0.9578333333333333,0.0,0.0,0.0,0.0
27-09-2024 18:00,37.07833333333333,0.0,28.516000000000002,27.36466666666667,6.217333333333333,133.77683333333331,9.7945,8.714833333333333,6.829833333333334,56.31066666666666,15.585666666666667,6.864166666666667,6.201666666666667,10.939,6.864166666666667,3.2628333333333335,0.4721666666666666,1.7088333333333334,1.2369999999999999,2.025333333333333,6.2035,134.38616666666667,10.030166666666666,8.687999999999999,0.326,1.87,412.5875,3.9985,0.9851666666666666,0.0,0.0,0.0,0.0
27-09-2024 19:00,39.547457627118646,0.0,28.592542372881358,27.805084745762713,5.392881355932204,147.51728813559322,10.575932203389831,7.461525423728814,5.139661016949153,62.3271186440678,15.045762711864407,7.803898305084746,6.622542372881356,11.138644067796609,7.803898305084746,3.2584745762711864,0.351864406779661,1.5301694915254238,1.178813559322034,2.105762711864407,5.4759322033898306,148.24644067796612,10.494745762711865,7.5908474576271185,0.32440677966101694,1.868135593220339,412.3094915254237,4.132203389830509,1.0474576271186442,0.0,0.0,0.0,0.0
