Site_Id,Parameter,Date,Hour,Value,Units
39,NO2,2024-12-10,14,0.08607,pphm
39,NO2,2024-12-10,15,0.069353,pphm
39,NO2,2024-12-10,16,0.140796,pphm
39,NO2,2024-12-10,17,0.150746,pphm
39,NO2,2024-12-10,18,0.18209,pphm
39,NO2,2024-12-10,19,0.159702,pphm
39,NO2,2024-12-10,20,0.197214,pphm
39,NO2,2024-12-10,21,0.195722,pphm
39,NO2,2024-12-10,22,0.091841,pphm
39,NO2,2024-12-10,23,0.132537,pphm
39,NO2,2024-12-10,24,0.066965,pphm
39,NO2,2024-12-11,1,0.016219,pphm
39,NO2,2024-12-11,2,,pphm
39,NO2,2024-12-11,3,0.04442,pphm
39,NO2,2024-12-11,4,0.159013,pphm
39,NO2,2024-12-11,5,0.464663,pphm
39,NO2,2024-12-11,6,0.290976,pphm
39,NO2,2024-12-11,7,0.686064,pphm
39,NO2,2024-12-11,8,0.529047,pphm
39,NO2,2024-12-11,9,0.464862,pphm
39,NO2,2024-12-11,10,0.533738,pphm
39,NO2,2024-12-11,11,0.219804,pphm
39,NO2,2024-12-11,12,0.247853,pphm
39,NO2,2024-12-11,13,0.542822,pphm
39,NO2,2024-12-11,14,0.435216,pphm
39,NO2,2024-12-11,15,0.29976,pphm
39,NO2,2024-12-11,16,0.19964,pphm
39,NO2,2024-12-11,17,0.232281,pphm
39,NO2,2024-12-11,18,0.314932,pphm
39,NO2,2024-12-11,19,0.199341,pphm
39,NO2,2024-12-11,20,0.272209,pphm
39,NO2,2024-12-11,21,0.217608,pphm
39,NO2,2024-12-11,22,0.04422,pphm
39,NO2,2024-12-11,23,0.064184,pphm
39,NO2,2024-12-11,24,0.300758,pphm
39,NO2,2024-12-12,1,0.109802,pphm
39,NO2,2024-12-12,2,,pphm
39,NO2,2024-12-12,3,0.245725,pphm
39,NO2,2024-12-12,4,0.244628,pphm
39,NO2,2024-12-12,5,0.590419,pphm
39,NO2,2024-12-12,6,1.339168,pphm
39,NO2,2024-12-12,7,1.589782,pphm
39,NO2,2024-12-12,8,1.420179,pphm
39,NO2,2024-12-12,9,1.401922,pphm
39,NO2,2024-12-12,10,0.824372,pphm
39,NO2,2024-12-12,11,1.052339,pphm
39,NO2,2024-12-12,12,1.889781,pphm
39,NO2,2024-12-12,13,1.220446,pphm
39,NO2,2024-12-12,14,0.996669,pphm
39,NO2,2024-12-12,15,0.89361,pphm
39,NO2,2024-12-12,16,0.821778,pphm
39,NO2,2024-12-12,17,0.998964,pphm
39,NO2,2024-12-12,18,0.656465,pphm
39,NO2,2024-12-12,19,0.522578,pphm
39,NO2,2024-12-12,20,0.46621,pphm
39,NO2,2024-12-12,21,0.588624,pphm
39,NO2,2024-12-12,22,1.12457,pphm
39,NO2,2024-12-12,23,1.793306,pphm
39,NO2,2024-12-12,24,0.892712,pphm
39,NO2,2024-12-13,1,0.595308,pphm
39,NO2,2024-12-13,2,,pphm
39,NO2,2024-12-13,3,0.227888,pphm
39,NO2,2024-12-13,4,0.167131,pphm
39,NO2,2024-12-13,5,0.227888,pphm
39,NO2,2024-12-13,6,0.37002,pphm
39,NO2,2024-12-13,7,0.59492,pphm
39,NO2,2024-12-13,8,0.650697,pphm
39,NO2,2024-12-13,9,0.821514,pphm
39,NO2,2024-12-13,10,1.288646,pphm
39,NO2,2024-12-13,11,0.843327,pphm
39,NO2,2024-12-13,12,0.926594,pphm
39,NO2,2024-12-13,13,0.793526,pphm
39,NO2,2024-12-13,14,0.979084,pphm
39,NO2,2024-12-13,15,0.874801,pphm
39,NO2,2024-12-13,16,0.741534,pphm
39,NO2,2024-12-13,17,0.930578,pphm
39,NO2,2024-12-13,18,0.648207,pphm
39,NO2,2024-12-13,19,0.525199,pphm
39,NO2,2024-12-13,20,0.609064,pphm
39,NO2,2024-12-13,21,0.674502,pphm
39,NO2,2024-12-13,22,0.354781,pphm
39,NO2,2024-12-13,23,-0.084462,pphm
39,NO2,2024-12-13,24,-0.095916,pphm
39,NO2,2024-12-14,1,-0.14492,pphm
39,NO2,2024-12-14,2,,pphm
39,NO2,2024-12-14,3,-0.067496,pphm
39,NO2,2024-12-14,4,-0.113863,pphm
39,NO2,2024-12-14,5,-0.120472,pphm
39,NO2,2024-12-14,6,0.029542,pphm
39,NO2,2024-12-14,7,0.171545,pphm
39,NO2,2024-12-14,8,0.135994,pphm
39,NO2,2024-12-14,9,0.207596,pphm
39,NO2,2024-12-14,10,0.199986,pphm
39,NO2,2024-12-14,11,0.28691,pphm
39,NO2,2024-12-14,12,0.807954,pphm
39,NO2,2024-12-14,13,0.986409,pphm
39,NO2,2024-12-14,14,0.47588,pphm
39,NO2,2024-12-14,15,0.528254,pphm
39,NO2,2024-12-14,16,0.541073,pphm
39,NO2,2024-12-14,17,0.164535,pphm
39,NO2,2024-12-14,18,0.093333,pphm
39,NO2,2024-12-14,19,0.052575,pphm
39,NO2,2024-12-14,20,0.098641,pphm
39,NO2,2024-12-14,21,0.351802,pphm
39,NO2,2024-12-14,22,1.416823,pphm
39,NO2,2024-12-14,23,1.798068,pphm
39,NO2,2024-12-14,24,0.278097,pphm
